Jump to:,,,,,,,,ア,,,,,イ,,,,,ウ,,,,,エ,,,,,オ,,,,,カ,,,,,キ,,,,,ク,,,,,ケ,,,,,コ,,,,,サ,,,,,ツ,,,,,ス,,,,,セ,,,,,ソ,,,,,タ,,,,,チ,,,,,ツ,,,,,テ,,,,,ト,,,,,ナ,,,,,二,,,,,ヌ,,,,,ネ,,,,,ノ,,,,,ハ,,,,,ヒ,,,,,フ,,,,,へ,,,,,ホ,,,,,マ,,,,,ミ,,,,,ム,,,,,メ,,,,,モ,,,,,ヤ,,,,,ユ,,,,,ヨ,,,,,ラ,,,,,リ,,,,,ル,,,,,レ,,,,,ロ,,,,,ワ,,,,,ン,
,,,,,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation
ア,イ,ウ,エ,オ,,"ア,",a,*whoa*,,,"イーッダ,",i-dda,*bleeeh*,Someone poking their tongue out mocking. Similar to べー. ,,"ウッ,",u,(1) *holds breath* ,(2) Exclamation of dismay. ,,"エッ,",e,*what?* ,SFX for an inquisitive grunting sound. ,,"オッ,",o,oh! eh!,,,"ガ,",ga,(1) *impact*;,(3) As if shot from a gun ,,"ギッ,",gi,(1) *gasp*;,"(2) SFX for the grinding or clenching of teeth, as if in a pained or sardonic, sarcastic grin. ",,"グ,",gu,(1) *stops midstep*;,,,"ゲッ,",ge,*ack!*,,,"ゴッ,",go,(1) *whack*;,"(1) ""Karate chop!"";",,"サッ,",sa,(1) *hiss* *rain* *water running*;,"(1) Softer sound than *zaa*, which can also be rain; ",,"ジャ,",ja,*flow* *rush* *hiss*,"Water or liquid flowing or rushing, or any other hissing sound. See also *jo*, *ju*, and *zu*. ",,"スッ,",su,(1) *pass* *pass by* *ignore* *whoosh*;,(1) To walk straight past someone; ,,"セッセ,",sesse,*quick quick*,To do something quickly and efficiently. ,,"ソッ,",so,(1) *holds out* *hold* *here*;,(1) To present something to someone else;,,"ダッ,",da,*charge*,"To charge forward, usually in an aggressive manner; making a run for it. ",,"チャッ,",cha,*ka-sha*,"SFX for a metallic sound, like when sheathing or unsheathing knives or blades.",,"ツー,",tsu-,*bzzz*,Insect sound. ,,"デブーン,",debu-n,*heavy sigh*,Ex: SFX for a deep breath of exasperation or exhaustion. ,,"ド,",do,(1) *burst*;,(3) SFX for small explosion;,,"ナデナデ,",nade nade,(1) *stroke stroke*; ,"(1) Stroke head, hair; ",,"ニッ,",ni,(1) *smile* *grin*;,(1) See also *niko* and *nita*;,,"ヌッ,",nu,*poke out* *creep*,"From behind, has mysteriousness attached to it (ghostly), usually with the effect of startling someone. ",,"ネバ,",neba,*sticky*,,,"ノンビリ,",nonbiri,(1) *slow*,,,"バ,",ba,(1) *arrows shooting*;,(5) Ex: tearing off clothing;,,"ビ,",bi,(1) *rip*;,(2) SFX for a high-pitched noise. ,,"ブ,",bu,*ptooey*,SFX for spitting something out. ,,"ベー,",be-,*bleehhh*,"Someone poking their tongue out mocking, giving a raspberry. ",,"ボ,",bo,*fwoosh*,,,"マンジリ,",manjiri,*didn't sleep a wink*,,,"ミッ,",mi,*cry* *sob* *wail*,"SFX for a sob of pain, groaning, or a high-pitched grunt of complaint. ",,"ムッ,",mu,*pissed off* *annoyed*,"SFX for when someone gets mad/annoyed, like *Mu* ",,"メチャクチャ,",mecha kucha,(1) *a mess*,(1) Ex: everything messed up in the house after the earthquake;,,"モー,",mo-,*moo*,For a cow. ,,"ヤァ,",yaa,*kyaa* *blush* *nooo!*,"SFX for embarrassment, or embarrassed denial or refusal. ",,"ユックリ,",yukkuri,*slowly*,To do something without rushing it. ,,"ヨッ,",yo,*grunt* *umph* *here we go*,"SFX for a grunt of effort, in a positive manner. See also *yoisho*. ",,"ラララ,",ra ra ra,*la di da*,SFX for skipping and humming a happy tune. ,,,,,,,,,,,,"レロレロ,",rero rero,*bleh bleh*,(1) Rolling something with/on the tongue ,,,,,,,"ワ,",wa,*wow!* *ack!* *whoa!*,,,"ンッ,",n,*grunt*,"As of surprise, effort, sleepiness, pain, or passion."
カ,キ,ク,ケ,コ,,あ,,,,,いーっだ,,,,,うっ,,*groan* ,,,えっ,,*huh?* ,,,おっ,,,,,が,,(2) *grab*;,,,ぎっ,,(2) *grit* *clench*,,,ぐ,,(2) *clench*;,,,げっ,,*gah!*,,,ごっ,,(2) *thump* *thunk* *bam*;,(2) SFX for semi-strong impact;,,さっ,,(2) *quick*;,(2) Quick motion;,,じゃ,,,,,すっ,,(2) *pass*;,(2) To put/pass something along;,,せっせ,,,,,そっ,,(2) *reach*,(2) SFX for extending one's hand to touch something or someone. ,,だっ,,*dash*,,,ちゃっ,,*ker-chak*,,,つー,,,,,でぶーん,,*siiigh*,,,ど,,(2) *piercing*;,"(4) SFX for missile ejection, like a bullet being shot from a gun ",,なでなで,,(2) *pat pat*,(2) Patting a dog. ,,にっ,,(2) *smirk* *heh*,"(2) To smile in a sarcastic, ironic way (can be in a teasing, or mean manner) ",,ぬっ,,,,,ねば,,,,,のんびり,,*relax*,,,ば,,(2) *whoosh* *fwoosh*;,(7) Ex: pushing open the curtains;,,び,,(2) *hii* *pii*,,,ぶ,,,,,べー,,,,,ぼ,,,,,まんじり,,*no rest at all*,,,みっ,,,,,むっ,,,,,めちゃくちゃ,,*all messed up*,"(2) A mentality, Ex: insanely happy, or all messed up after a breakup. ",,もー,,,,,やぁ,,,,,ゆっくり,,*relaxed pace*,"This can sometimes be an expression of aggravation for another character being too slow, or it can be in the context of a positive teacher-to-student relationship. ",,よっ,,,,,ららら,,*la la la*,,,,,,,,,,,,,れろれろ,,*roll roll*,,,,,,,,わ,,,,,んっ,,,Usually in context of exerting physical effort. 
サ,シ,ス,セ,ソ,,"アッ,",a,ah,"exclamation of surprise, amazement, relief ",,,,,,,,,*growl* ,,,,,*eh?*,,,"オー,",o-,(1) *roar*; ,"(1) Menacing roar, animal or mechanical (such as roar of an engine); ",,,,(3) *pow* *bang*,,,,,,,,,,(3) *gulp* *swallow hard*,,,"ゲボ,",gebo,*throw up* *choke*,,,,,(3) *roar*,(3) SFX for a burst of sudden power or force ,,,,(3) *rustle* *wind*;,"(3) Rustling, windy;",,,,,,,,,(3) *breathe in*;,(3) Compare to *fu* (breathe out);,,,,,,,,,,,,,,*run*,,,,,*shing*,,,,,,,,,,*sigh*,,,,,(3) *bang* *bam*,,,,,,,,,,,,,,,,,,"ネバネバ,",neba neba,*very sticky* ,FYI: Viscous means a liquid substance that is very thick and not watery. ,,,,*leisurely*,,,,,(3) *fling*;,"(9) See also *bagu*, *baki*, *ban*, *bashi*, *bata*, *batan*, *bokan*, *bun*, *dan*, *doka*, *don*, *doshin*, *dote*, *ga*, *ka*, *kon*, *paka*, *pan*, *pashi*, *patan*, *poka*, *pon*, *to*, and *ton*;",,,,,,,,,,,,,,,,,"ボッ,",bo,(1) *burn* *ignite*;,(1) SFX when fire is lit or something catches fire;,,,,*not a wink*,,,,,,,,,,,,,,,*all over the place*;,,,,,,,,,,,,,,,*taking their time*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワ,",wa,(1) *boo!*,,,,,,
タ,チ,ツ,テ,ト,,あっ,,,,,"イチャ,",icha,*cozy*,See also *ichya* and *ichya ichya*. ,,,,*repulsed*;,,,"エ,",e,*what?* ,"SFX for a light, inquisitive grunting sound. ",,おー,,(2) *howl*; ,(2) Wind howling; ,,"ガッ,",ga,(1) *impact* *crunch*;,(2) Fighting SFX;,,"ギ,",gi,(1) *rustle*;,"(1) SFX for movement, shifting clothing ",,"グッ,",gu,(1) *growl*;,"(1) Stomach growling, see also *ku* and *kyururu*; ",,げぼ,,,,,,,,,,,,(4) *step*;,(6) Done in a fast motion. ,,"ジャッ,",ja,*scuff* *step*,SFX for stepping (or a light impact) on gravel or a similar rough surface. ,,,,(4) *rain*;,"(5) Ex. Cloth slowly slipping off, someone moving smoothly;",,"セッセト,",sesseto,*working steadily*,,,,,,,,"ダー,",da-,(1) *dash*; ,(1) SFX for running away from something ,,,,*sha*,,,"ツーン,",tsu-n,*odor*,"An awful odor, usually sour-ish that makes you cry. Compare with プーン (Pu-n). ",,"デブフーン,",debufu-n,*snort wheeze*,SFX for a nasal exhaling sound. ,,,,*boom*;,,,,,,,,,,,,,"ヌ？,",nu,*hey?* ,,,ねばねば,,*viscous*,,,,,*laid back*;,,,,,(4) *shake*;,"(10) Very sudden, abrupt, unexpected movement, also used when quickly grabbing something; see also *baba*;",,"ビッ,",bi,(1) *urk* *uh oh*;,(1) SFX for surprise;,,"ブッ,",bu,(1) *ptooey*,(1) Spitting something nasty out.,,"ベーダ,",be-da,*nya nya!*,What you say when you stick out your tongue and pull down your eyelid at someone. ,,ぼっ,,(2) *whoosh*;,"(2) SFX for something moving fast and violently, like a missile or punch;",,"マスマス,",masu masu,*more and more*,,,"ミー,",mi-,(1) *cry* *wail*;,(1) See also *e* and *hu-e*;,,"ムー,",mu-,(1) *doooh* *grrr*;,"(1) When you blow up your cheeks and whine like a child, like *Pu~*;",,,,(2) *messed up*,,,"モーッ,",mo-,(1) *geez* *ugh* *gah*;,SFX for a sound or groan of frustration or protest. ,,"ヤホ,",yaho,*yoo-hoo!* hey! hi!,,,,,,,,"ヨー,",yo-,*huff* *oof*,,,"ラブラブ,",rabu rabu,*romantic*,"SFX that literally derives from the Japanese pronunciation of ""love-love"" as ""rah-bu rah-bu."" ",,,,,,,,,,,,,,,,,,,,,,わ,,(2) *ack!*,,,,,,
ナ,ニ,ヌ,ネ,ノ,,,,,,,いちゃ,,,,,,,(2) *ugh* *urgh*,,,え,,*huh?* ,,,,,(3) *impressed*,(3) Sound of being impressed. ,,がっ,,(2) *punch* *hit* *strike*;,"(3) SFX for metal-on-metal impact, like two swords banging against one another in a fight;",,ぎ,,(2) *grab*,,,ぐっ,,(2) *zzz*;,"(2) What you sound like when you're sleeping, see also *supigu*, *ku*, *suka*, *suya*, and *gussuri*; *gu* and *ku* are similar to zzzz, *supigu* is peaceful sleep;",,"ゲエ,",gee,*gasp* *wheeze*,SFX for gasping for air or breath. ,,,,,,,,,(5) *stands up quickly*;,,,じゃっ,,,,,,,(5) *slow movement*;,(6) To hand over a sheet of paper to someone;,,せっせと,,,,,"ソー,",so-,(1) *sneaky* *tip toe*;,,,だー,,(2) *doh*,,,"チャント,",chanto,*properly*,"Usually used in a patronizing tone, Ex: ""Did you do your homework properly?""",,つーん,,,,,でぶふーん,,*wheeze*,,,,,(4) *pow*,,,"ナガナガ,",naga naga,*very long*,"Comes from the adjective ""long"" or 「長い」. ",,"ニー,",ni-,*smiiiiiile*,,,ぬ？,,*hmm?*,,,,,,,,,,(2) *dally*,,,,,(5) *tears off*;,"(11) From the word ""bakenokawawohagu"" or ""to unmask"";",,びっ,,(2) *punch*,(2) Fighting noise. ,,ぶっ,,*blegh*,,,べーだ,,,,,,,(3) *whomp* *wham*,"(3) SFX for a sudden muffled crash, impact, or landing ",,ますます,,,,,みー,,(2) *wail* *pain*,"(2) SFX for an expression of pain, usually wailing or groaning ",,むー,,(2) *hmph*;,(2) A grunt of anger,,,,*insanely (something)*,,,もーっ,,(2) *oy* *hey!*,,,やほ,,,,,"ユラ,",yura,*wobble* *shaky* *unsteady*,As if to stand up on shaky legs. ,,よー,,,,,らぶらぶ,,*love love*,,,,,,,,,,,,,,,,,,,,,,,"ワッ,",wa,*wah!* *yay!* *yeeahh!* *cheer* *woot!*,"SFX for a cheer, or a happy atmosphere. ",,"ン？,",n,*hey?*,"Grunt, usually coming out in the form of a question. "
ハ,ヒ,フ,ヘ,ホ,,"ア！,",a,*hey!* *ah!*,SFX for a crying or calling out. ,,,,,,,,,*dammit*,,,,,*eh?*,,,,,,,,,,(3) *clang* *crash* *clank*;,"(5) Like the snap of jaws or teeth, usually in anger or with enthusiasm ",,,,,,,,,(3) *clench* *grip*;,(3) *push*;,,げえ,,,,,"ゴー,",go-,(1) *roar*;,"(1) Can be a fire sound, often used for Hiei's fire attacks. See also *bo*, *guo-*, and *po*;",,,,(6) *kick* *hit*;,,,,,,,,,,(6) *hand* *crinkle*;,(7) Ex. Unraveling a scroll;,,"ゼッ,",ze,*wheeze* *gasp*,,,そー,,(2) *slide* *whoosh*,,,,,,,,ちゃんと,,*perfectly*,,,,,,,,,,,,,"ドッ,",do,(1) *laughter* *sudden laughter*; ,"(1) - (2) By a crowd, whereas *Buwa* would be for a single person;",,ながなが,,,,,にー,,,,,"ヌ,",nu,(1) *thwap*;,,,"ネチネチ,",nechi nechi,*firm*,,,"ノロ,",noro,*slow*,,,,,(6) *clench* *grab*;,"(12) To realize something suddenly, stronger than *ha*; see also *baba*. ",,,,,,,,,*spits out*;,See also *bu* (ブ). ,,,,,,,,,,,,,,,,,,,,,,,,(3) *mrrr*,,,"メチャメチャ,",mecha mecha,(1) *lots* *very*;,(2) Almost (or totally) broken beyond repair. ,,,,,,,"ヤホイ,",yahoi,"oh, well;","What you say when you're frustrated, exasperated, or giving up. ",,ゆら,,,,,"ヨボヨボ,",yobo yobo,*senile*,"To become senile, usually with age. ",,,,,,,,,,,,,,,,,,,,,,,,,,,わっ,,,,,ん？,,*what?*,
マ,ミ,ム,メ,モ,,あ！,,,,,"イチャクライチャクラ,",ichakura ichakura,*cozy* *cuddle*,"Displaying affection in public, acting cozy ",,,,*crap*;,,,"エ！,",e,*what?* ,"SFX for a light, inquisitive grunting sound. ",,,,,,,,,(4) *thud* *lands*;,,,"ギギ,",gi gi,(1) *tightening*;,,,,,(4) *breathe*;,(4) SFX for heavy breathing;,,,,,,,ごー,,(2) *blast* *boom*,(2) Sound of loud explosion ,,,,(7) *hides quickly* *hides* *hide* *cover*,,,"ジャー,",ja-,(1) *flowing water* *rush*;,"(1) SFX for flowing water, heavier than シャー (Shaa-); any other hissing sound;",,,,(7) *unravel*;,"(8) Smooth, covert movement;",,ぜっ,,,,,"ソックリ,",sokkuri,*the same*,"Ex: ""That sounds just like my mom""",,"ダーア,",da-a,*running away*,"See also *ta*, *dododo*, and *tatata*. ",,,,*well done*,Often used in everyday speech. ,,"ツーツーツー,",tsu-tsu-tsu,*beep beep beep*,Like when the phone line is busy. ,,"デコボコ,",deko boko,*bumpy*,,,どっ,,(2) *big impact*;,"(3) The loudest kind! See also *doki doki*, *dokun*, and *tokun*;",,,,,,,"ニチャー,",nicha-,(1) *sticky-*; ,(1) Texture; ,,ぬ,,(2) *scared* *frightened*,,,ねちねち,,*stuck*,,,のろ,,*sluggish*,,,,,(7) *push*;,,,,,,,,,,(2) *yank* *pull*,,,"ベベ,",bebe,*putt putt*,"SFX for a mechanical sound, such as the sputtering sound of a scooter motor. ",,,,,,,,,,,,,,,,,,,,"Note: May consider it from the verb for ""to be angry"" or 「むかつく」 ",,めちゃめちゃ,,(2) *smashed up* *beat up* *in pieces*,,,"モグ,",mogu,*eating* *munching*,See also *mugu*. ,,やほい,,what the heck;,,,,,,,,よぼよぼ,,*crazy*,,,"ラクラク,",raku raku,*too easy*,"SFX derived from the adjective ""easy"" or 「楽な」. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,*hm?*,
ヤ,,ユ,,ヨ,,,,,,,いちゃくらいちゃくら,,,,,,,(3) *sob* *cry*,,,え！,,*huh?* ,,,"オーホッホッ,",o-hohho,*oooh ho ho ho*,"SFX for extreme, evil laughter. ",,,,(5) *snap*,,,ぎぎ,,(2) *pulling*;,,,,,(5) *pull* *jerk*;,(5) To pull with a jerk;,,"ゲフ,",gefu,*burp* *belch*,"Commonly used in comedy manga to express ""あぁぁぁぁぁぁぁ〜！"" (Ahhhhh! sigh of relief) notion. ",,,,,,,"ササ,",sa sa,*quick*,Quick motion. ,,じゃー,,(2) *whishhh!*,(2) Something slicing through the air. ,,,,(8) *sst*;,"(9) Smooth, looking-over-someone's-shoulder type covert movement;",,"ゼーゼー,",ze-ze-,*pant pant* *wheeze wheeze*,,,そっくり,,*alike*,"Ex: ""Exactly like a thief""",,だーあ,,,,,,,,,,つーつーつー,,,,,でこぼこ,,,,,,,(3) *heartbeat*;,(4) SFX for an explosion;,,"ナカナカ,",naka naka,(1) *hardly*;,"Comes from the word ""rather"" or ""quite"" or 「中々」. ",,にちゃー,,(2) *smirk* *grin*,(2) A very mischievous and somewhat scary smile. ,,"ヌヌヌ,",nu nu nu,*hmmmm* *grrrrr*,,,,,*not budging*,,,"ノロノロ,",noro noro,*slow* *sluggish*,To do things slowly. ,,,,(8) *whipping*;,,,"ビー,",bi-,*shriek* *wail*,"High-pitched sound, see also *kii*. ",,,,,,,べべ,,,,,"ボー,",bo-,(1) *flame* *fire* *whoosh*;,"(1) SFX for a firey effect, like the ""whoosh"" of a gas range turned on, or the roar of a fire going out of control; see also *goo*, *guoo*, and *po*;",,,,,,,"ミーンミーン,",mi-n mi-n,*krrrt*,The sound of cicadas in the summer. ,,,,,,,,,,,,もぐ,,,,,,,good grief,,,"ユラユラ,",yura yura,*waver* *shake quietly*,Ex: candle light wavering. ,,,,*forgetful*,,,らくらく,,,,,,,,,,,,,,,,,,,,,,,,,"ワー,",wa-,(1) *roar*;,(1) (A crowd's) excited roar. See also *wai wai* and *wara wara*;,,,,*hmm?*,
ラ,リ,ル,レ,ロ,,"ア。。,",a,*ah..* *ah* *oh* *ahh*,"Kind of like an open-mouthed ""oh, I see..."" ",,,,,,,"ウッウッ,",u u,*sob sob* *cry*,SFX for crying or catching of breath from sobbing. ,,,,*eh?*,,,おーほっほっ,,*cackle cackle*,,,"ガガ,",ga ga,(1) *grab grab*;,"(2) A very traditional way of brushing rice from a bowl into one's mouth using a pair of chopsticks, hence the ""clack clack"" sound of the chopsticks hitting the bowl. ",,,,(3) *creaking*,,,,,(6) *grab*;,(8) To swallow in a nervous way. ,,げふ,,,,,,,,,,ささ,,,,,,,,,,,,(9) *lean in* *lean*;,"(10) To grab something, to hand over something ",,ぜーぜー,,,,,,,*similar*,"Ex: ""This bag looks exactly like my old one"" ",,,,,,,,,,,,,,,,,"デレ,",dere,*clumsy*,When you become clumsy because you see someone gorgeous. ,,,,(4) *burst* *boom*;,"(7) SFX for a sudden, dramatically heavy atmosphere or change in tone (usually for dramatic or comedic effect) ",,なかなか,,(2) *quite* *rather*,,,,,,,,ぬぬぬ,,,,,,,,,,のろのろ,,,,,,,(9) *sudden impact*,,,びー,,,,,"ブ,",bu,*pinch* *pluck*,See also *pu*. ,,,,,,,ぼー,,(2) *sluggish* *exhausted* *groggy*;,(2) See also *doyon*. ,,,,,,,みーんみーん,,,,,,,,,,"メェ,",mee,*meeh* *baa*,Sound of sheep. ,,,,,,,"ヤキモキ,",yaki moki,*worry*,,,ゆらゆら,,,,,"ヨチヨチ,",yochi yochi,*gingerly*,To walk gingerly in small steps. ,,,,,,,,,,,,,,,,,,,,,,,,,,,わー,,(2) *wow*;,(4) SFX for cheering or SFX for cry of dismay or despair. ,,"ン,",n,(1) *uhn*; ,"Crying out, usually when exerting physical effort. "
ワ,,,,,,あ。。,,,,,"イチャ,",ichya,(1) *cozy*,(1) Displaying public affection;,,うっうっ,,,,,"エッ,",e,*eh?*,,,,,*ah ha ha ha*,,,がが,,(2) *clack clack*;,,,"ギーコ,",gi-ko,*saw saw*,The sound of sawing wood. ,,,,(7) *thumbs up*,,,,,,,,"ゴーン,",go-n,(1) *dooom*;,"(1) SFX for foreboding, depressing or anxious atmosphere;",,,,,,,,,,,,,,(10) *reach* *pull*;,,,"ゼエ,",zee,*wheeze* *gasp*,,,,,*exactly alike*,,,"ダアッ,",daa,*dash*,SFX for running away from something. ,,"チャポン,",chapon,*plunk* *splash*,Water sound. See also *shapu*. ,,"ツブ,",tsubu,*eyes close*,Eyes (and only eyes) closing.,,でれ,,,,,,,(5) *thud*;,,,,,,,,,,,,,"ヌー,",nu-,*menace*,,,,,,,,,,,,,,,*bam* *bang*,,,,,,,,ぶ,,,,,"ベチャ,",becha,*slurp*,Like sound of licking ice cream sloppily.,,,,(3) *spaced out* *daydreaming*,,,,,,,,,,,,,"ムーン,",mu-n,(1) *grimace* *anger* *sulky*;,"(2) A sarcastic, elongated grunt. Kind of like when you know someone's lying to your face but you're just not calling them a liar. Ex: ""Is that so..."" (rhetorical) ",,めぇ,,,,,"モグモグ,",mogu mogu,*munch munch*,SFX for when one is eating or chewing something/mouthful.,,やきもき,,,,,,,,,,よちよち,,*small steps*,,,"ランッ,",ran,(1) *beam* *intensely*,"(1) SFX for sudden attention in one's gaze, like snapping to attention dramatically (can be used for comedic effect) ",,,,,,,,,,,,,,,,,,,,,,,,(3) *yeaahh* *cheer* *applause*;,,,ん,,(2) *ughn*,
